,pmid,text,entity_type,start,end
487,42630505,Interferon-stimulated gene,GeneOrGeneProduct,1810,1836
490,42630505,Poly ADP-ribose polymerase,GeneOrGeneProduct,2164,2190
491,42630505,PARP,GeneOrGeneProduct,2192,2196
493,42630505,E3 ligase,GeneOrGeneProduct,2408,2417
1006,42630617,GH,GeneOrGeneProduct,15,17
1007,42630617,HaeIII,GeneOrGeneProduct,21,27
1008,42630617,sheep,OrganismTaxon,96,101
1010,42630617,ewes,OrganismTaxon,176,180
1127,42630837,SGLT2 inhibitors,ChemicalEntity,14,30
1128,42630837,uric acid,ChemicalEntity,34,43
1129,42630837,patients,OrganismTaxon,54,62
1130,42630837,heart failure,DiseaseOrPhenotypicFeature,68,81
1131,42630837,Hyperuricemia,DiseaseOrPhenotypicFeature,165,178
1132,42630837,HUA,DiseaseOrPhenotypicFeature,180,183
1135,42630837,HFpEF,DiseaseOrPhenotypicFeature,277,282
1136,42630837,Sodium-glucose cotransporter 2,GeneOrGeneProduct,357,387
1139,42630837,SUA,ChemicalEntity,459,462
1146,42630837,inflammation,DiseaseOrPhenotypicFeature,816,828
1154,42630837,SGLT2 inhibitor,ChemicalEntity,1777,1792
1159,42630837,tumor necrosis factor,GeneOrGeneProduct,2027,2048
1160,42630837,TNF,GeneOrGeneProduct,2050,2053
1162,42630837,AGE,ChemicalEntity,2132,2135
1163,42630837,RAGE,GeneOrGeneProduct,2136,2140
1164,42630837,interleukin-17,GeneOrGeneProduct,2143,2157
1165,42630837,IL-17,GeneOrGeneProduct,2159,2164
1166,42630837,Kaposi's sarcoma-associated herpesvirus,OrganismTaxon,2171,2210
1167,42630837,KSHV,OrganismTaxon,2212,2216
1169,42630837,GAPDH,GeneOrGeneProduct,2325,2330
1170,42630837,CASP3,GeneOrGeneProduct,2332,2337
1171,42630837,ICAM1,GeneOrGeneProduct,2339,2344
1172,42630837,ACE,GeneOrGeneProduct,2346,2349
1173,42630837,DPP4,GeneOrGeneProduct,2351,2355
1174,42630837,AGTR1,GeneOrGeneProduct,2361,2366
1175,42630837,canagliflozin,ChemicalEntity,2373,2386
1177,42630837,creatinine,ChemicalEntity,2485,2495
597,42631261,ATP7B,GeneOrGeneProduct,22,27
598,42631261,Hepatic Wilson Disease,DiseaseOrPhenotypicFeature,70,92
599,42631261,Wilson disease,DiseaseOrPhenotypicFeature,94,108
600,42631261,WD,DiseaseOrPhenotypicFeature,110,112
601,42631261,man,OrganismTaxon,225,228
602,42631261,hepatic steatosis,DiseaseOrPhenotypicFeature,269,286
603,42631261,cirrhosis,DiseaseOrPhenotypicFeature,291,300
604,42631261,metabolic syndrome,DiseaseOrPhenotypicFeature,325,343
605,42631261,ceruloplasmin,GeneOrGeneProduct,416,429
606,42631261,copper,ChemicalEntity,445,451
608,42631261,Kayser-Fleischer rings,DiseaseOrPhenotypicFeature,490,506
610,42631261,c.1707+2dupT,SequenceVariant,604,616
613,42631261,patients,OrganismTaxon,741,749
615,42631261,cryptogenic cirrhosis,DiseaseOrPhenotypicFeature,789,810
616,42632595,Hand Osteoarthritis,DiseaseOrPhenotypicFeature,42,61
617,42632595,patients,OrganismTaxon,244,252
620,42632595,osteoarthritis,DiseaseOrPhenotypicFeature,602,616
622,42632595,thumb-base hand osteoarthritis,DiseaseOrPhenotypicFeature,692,722
623,42632595,rheumatoid arthritis,DiseaseOrPhenotypicFeature,748,768
625,42632595,arthritides,DiseaseOrPhenotypicFeature,791,802
626,42632595,Pain,DiseaseOrPhenotypicFeature,925,929
628,42632595,stiffness,DiseaseOrPhenotypicFeature,1087,1096
629,42632595,Methotrexate,ChemicalEntity,1683,1695
630,42632595,hydroxychloroquine,ChemicalEntity,1700,1718
631,42632595,adalimumab,ChemicalEntity,1808,1818
632,42632595,etanercept,ChemicalEntity,1820,1830
633,42632595,tocilizumab,ChemicalEntity,1832,1843
634,42632595,lutikizumab,ChemicalEntity,1845,1856
635,42632595,otilimab,ChemicalEntity,1862,1870
59,42632605,Benzene,ChemicalEntity,0,7
60,42632605,ATF7IP2,GeneOrGeneProduct,33,40
61,42632605,Glutamate,ChemicalEntity,48,57
62,42632605,Acute Myeloid Leukemia,DiseaseOrPhenotypicFeature,93,115
65,42632605,AML,DiseaseOrPhenotypicFeature,215,218
76,42632605,glutamine,ChemicalEntity,995,1004
80,42632605,leukemia,DiseaseOrPhenotypicFeature,1306,1314
81,42632605,TCMCB07,ChemicalEntity,1382,1389
83,42632605,mouse,OrganismTaxon,1494,1499
364,42632907,Tuberculosis,DiseaseOrPhenotypicFeature,106,118
365,42632907,TB,DiseaseOrPhenotypicFeature,120,122
366,42632907,Mycobacterium tuberculosis,OrganismTaxon,155,181
367,42632907,Mtb,OrganismTaxon,183,186
1048,42633029,Type 2 Diabetes Mellitus,DiseaseOrPhenotypicFeature,90,114
1050,42633029,T2DM,DiseaseOrPhenotypicFeature,163,167
1051,42633029,insulin resistance,DiseaseOrPhenotypicFeature,221,239
1052,42633029,glucotoxicity,DiseaseOrPhenotypicFeature,245,258
1053,42633029,hyperglycemia,DiseaseOrPhenotypicFeature,391,404
1056,42633029,insulin,GeneOrGeneProduct,1109,1116
1057,42633029,metformin,ChemicalEntity,1289,1298
1058,42633029,pioglitazone,ChemicalEntity,1299,1311
1059,42633029,linagliptin,ChemicalEntity,1495,1506
1063,42633029,hypoglycemia,DiseaseOrPhenotypicFeature,2033,2045
1064,42633029,weight gain,DiseaseOrPhenotypicFeature,2119,2130
1184,42633066,hematologic disease,DiseaseOrPhenotypicFeature,50,69
1185,42633066,CH,DiseaseOrPhenotypicFeature,179,181
1186,42633066,murine,OrganismTaxon,262,268
1187,42633066,Trp53,GeneOrGeneProduct,282,287
1188,42633066,Ppm1d,GeneOrGeneProduct,297,302
1189,42633066,Tet2,GeneOrGeneProduct,316,320
1194,42633066,mice,OrganismTaxon,670,674
1201,42633066,TP53,GeneOrGeneProduct,1092,1096
647,42633081,Congenital Heart Disease,DiseaseOrPhenotypicFeature,65,89
648,42633081,Neurodevelopmental Disorders,DiseaseOrPhenotypicFeature,94,122
650,42633081,CHD,DiseaseOrPhenotypicFeature,242,245
652,42633081,NDD,DiseaseOrPhenotypicFeature,343,346
653,42633081,attention-deficit/hyperactivity disorder,DiseaseOrPhenotypicFeature,357,397
654,42633081,autism spectrum disorder,DiseaseOrPhenotypicFeature,402,426
655,42633081,placental dysfunction,DiseaseOrPhenotypicFeature,479,488
656,42633081,oxygen,ChemicalEntity,513,519
657,42633081,patients,OrganismTaxon,786,794
666,42633081,ARID1B,GeneOrGeneProduct,1435,1441
673,42633081,developmental disease,DiseaseOrPhenotypicFeature,1920,1941
435,42633083,Solid Tumors,DiseaseOrPhenotypicFeature,53,65
436,42633083,cancer,DiseaseOrPhenotypicFeature,201,207
437,42633083,patients,OrganismTaxon,694,702
438,42633083,tumors,DiseaseOrPhenotypicFeature,734,740
439,42633083,tumor,DiseaseOrPhenotypicFeature,780,785
874,42633120,nosocomial infections,DiseaseOrPhenotypicFeature,409,430
876,42633120,Infectious Diseases,DiseaseOrPhenotypicFeature,1156,1175
878,42633120,Escherichia coli,OrganismTaxon,1287,1303
879,42633120,Klebsiella pneumoniae,OrganismTaxon,1355,1376
880,42633120,Acinetobacter baumannii,OrganismTaxon,1393,1416
881,42633120,Pseudomonas aeruginosa,OrganismTaxon,1432,1454
882,42633120,Enterococcus,OrganismTaxon,1470,1482
883,42633120,Staphylococcus aureus,OrganismTaxon,1503,1524
884,42633120,Enterobacter,OrganismTaxon,1544,1556
885,42633120,?-lactams,ChemicalEntity,1606,1615
886,42633120,cephalosporins,ChemicalEntity,1617,1631
887,42633120,fluoroquinolones,ChemicalEntity,1637,1653
888,42633120,Carbapenem,ChemicalEntity,1655,1665
889,42633120,E. coli,OrganismTaxon,1710,1717
890,42633120,K. pneumoniae,OrganismTaxon,1744,1757
891,42633120,P. aeruginosa,OrganismTaxon,1775,1788
892,42633120,A. baumannii,OrganismTaxon,1819,1831
894,42633120,infection,DiseaseOrPhenotypicFeature,2034,2043
1203,42633266,Inflammation,DiseaseOrPhenotypicFeature,0,12
1204,42633266,hydrogel,ChemicalEntity,84,92
1205,42633266,periodontal diseases,DiseaseOrPhenotypicFeature,188,208
1206,42633266,immune dysregulation,DiseaseOrPhenotypicFeature,219,239
1208,42633266,periodontal inflammation,DiseaseOrPhenotypicFeature,553,577
1209,42633266,gelatin,ChemicalEntity,669,676
1210,42633266,matrix metalloproteinases,GeneOrGeneProduct,723,748
1211,42633266,periodontal disease,DiseaseOrPhenotypicFeature,809,828
1213,42633266,periodontal and other inflammation,DiseaseOrPhenotypicFeature,1359,1393
413,42633377,foot-and-mouth disease virus,OrganismTaxon,57,85
414,42633377,buffaloes,OrganismTaxon,89,98
415,42633377,Foot-and-mouth disease,DiseaseOrPhenotypicFeature,114,136
416,42633377,FMD,DiseaseOrPhenotypicFeature,138,141
417,42633377,infectious disease,DiseaseOrPhenotypicFeature,154,172
421,42633377,FMDV,OrganismTaxon,371,375
424,42633377,buffalo,OrganismTaxon,526,533
427,42633377,VP1,GeneOrGeneProduct,731,734
432,42633377,cattle,OrganismTaxon,1316,1322
433,42633377,serotype O,OrganismTaxon,1541,1551
581,42633403,"1,6-hexanediol",ChemicalEntity,26,40
582,42633403,Escherichia coli,OrganismTaxon,89,105
584,42633403,"1,6-HDO",ChemicalEntity,127,134
585,42633403,polymer,ChemicalEntity,185,192
586,42633403,toxicity,DiseaseOrPhenotypicFeature,234,242
590,42633403,sulfur,ChemicalEntity,671,677
591,42633403,amino acid,ChemicalEntity,693,703
592,42633403,E. coli,OrganismTaxon,904,911
446,42633466,HthCRESSV1,OrganismTaxon,133,143
447,42633466,Halophytophthora thermoambigua,OrganismTaxon,179,209
736,42633474,Hemiplegic Migraine,DiseaseOrPhenotypicFeature,5,31
737,42633474,Rare Genetic Disorder,DiseaseOrPhenotypicFeature,73,94
738,42633474,Familial hemiplegic migraine,DiseaseOrPhenotypicFeature,96,124
739,42633474,FHM,DiseaseOrPhenotypicFeature,126,129
740,42633474,migraine with aura,DiseaseOrPhenotypicFeature,174,192
741,42633474,migraine with a reversible motor aura,DiseaseOrPhenotypicFeature,211,248
743,42633474,hemiparesis,DiseaseOrPhenotypicFeature,406,417
744,42633474,headache,DiseaseOrPhenotypicFeature,426,434
745,42633474,altered consciousness,DiseaseOrPhenotypicFeature,436,457
746,42633474,fever,DiseaseOrPhenotypicFeature,463,468
747,42633474,acute stroke,DiseaseOrPhenotypicFeature,521,533
748,42633474,encephalitis,DiseaseOrPhenotypicFeature,535,547
749,42633474,status epilepticus,DiseaseOrPhenotypicFeature,552,570
750,42633474,CACNA1A,GeneOrGeneProduct,629,636
751,42633474,ATP1A2,GeneOrGeneProduct,638,644
752,42633474,SCN1A,GeneOrGeneProduct,646,651
753,42633474,PRRT2,GeneOrGeneProduct,657,662
1067,42633481,metal,ChemicalEntity,11,16
1068,42633481,calcium folinate,ChemicalEntity,116,132
1069,42633481,methotrexate,ChemicalEntity,137,149
1071,42633481,CFT,ChemicalEntity,169,172
1073,42633481,MTT,ChemicalEntity,227,230
1074,42633481,anaemia,DiseaseOrPhenotypicFeature,257,264
1076,42633481,carcinomas,DiseaseOrPhenotypicFeature,300,310
1077,42633481,acute lymphoblastic leukaemia,DiseaseOrPhenotypicFeature,322,351
1078,42633481,head and neck cancer,DiseaseOrPhenotypicFeature,353,373
1079,42633481,gastric cancer,DiseaseOrPhenotypicFeature,375,389
1080,42633481,breast cancer,DiseaseOrPhenotypicFeature,391,404
1081,42633481,choriocarcinoma,DiseaseOrPhenotypicFeature,409,424
1082,42633481,Fe,ChemicalEntity,450,452
1083,42633481,Mg,ChemicalEntity,457,459
1084,42633481,"1,4-benzene dicarboxylate",ChemicalEntity,472,497
1085,42633481,metal organic framework,ChemicalEntity,505,528
1086,42633481,FeMg-BDC MOF,ChemicalEntity,530,542
1087,42633481,Mg-BDC,ChemicalEntity,667,673
1088,42633481,MOF,ChemicalEntity,674,677
987,42633488,asthma,DiseaseOrPhenotypicFeature,52,58
989,42633488,airway inflammatory disorder,DiseaseOrPhenotypicFeature,78,106
992,42633488,IL-17,GeneOrGeneProduct,990,995
993,42633488,TNF,GeneOrGeneProduct,997,1000
994,42633488,JAK,GeneOrGeneProduct,1016,1019
995,42633488,STAT,GeneOrGeneProduct,1020,1024
996,42633488,PI3K,GeneOrGeneProduct,1026,1030
997,42633488,AKT,GeneOrGeneProduct,1031,1034
998,42633488,quercetin,ChemicalEntity,1047,1056
999,42633488,kaempferol,ChemicalEntity,1061,1071
1000,42633488,airway inflammation,DiseaseOrPhenotypicFeature,1108,1127
1001,42633488,immune dysregulation,DiseaseOrPhenotypicFeature,1132,1152
1002,42633488,toxicity,DiseaseOrPhenotypicFeature,1212,1220
1003,42633488,CYP,GeneOrGeneProduct,1274,1277
