,pmid,title,abstract,journal,year
46,42500343,Assessment of Oxidative Stress Levels in Women with Different Phenotypes of Polycystic Ovary Syndrome and its Correlation with Lipid and Hormonal Profile.,"Polycystic ovary syndrome (PCOS) is an endocrine-metabolic disorder and one of the leading causes of infertility in women. The hallmarks of PCOS include polycystic ovaries, hyperandrogenism, and anovulation. Oxidative stress (OS) is blamed to be an intriguing factor in developing metabolic syndromes. The present study recruited 141 PCOS cases, and 137 control women to determine serum OS levels and their correlation with lipid and hormonal profile. Student's t-test, chi-square, Pearson correlation, multiple comparison analysis, and receiver operating characteristic (ROC) curve were used to calculate the significance of the study. PCOS women had significantly increased levels of triglycerides, VLDL, total testosterone, LH, MDA, TOS, and OSI (<i>p</i> < 0.05). Levels of TAC were significantly lower in cases and showed a negative correlation with lipid profile, WHR, and total testosterone, while LH had a positive correlation. A positive correlation of MDA, TOS, and OSI levels was observed with BMI, WHR, hyperandrogenism, and lipid profile. Among all 4 phenotypes of PCOS, phenotype C had the lowest OS, followed by phenotype D and then phenotypes A and B. The ROC curve demonstrated that MDA had statistically significant diagnostic efficiency with the cut-off value of 2.9 umol/L (<i>p</i> < 0.05). The present study concluded that PCOS women with ovulatory dysfunction had more OS, indicating the role of OS in anovulation. Hyperandrogenism, obesity, and dyslipidemia were significantly correlated with increased OS and reduced antioxidant levels, revealing the relationship between clinical features of PCOS and OS.",Indian journal of clinical biochemistry : IJCB,2026.0
247,42630256,"Anticonvulsant effects, safety, and sex-dependent molecular signatures of cannabidiol treatment in a preclinical model of audiogenic epilepsy.","Roughly one-third of patients with epilepsy remain drug resistant, underscoring the need for novel therapeutic strategies. Although cannabidiol (CBD) has recently been approved for specific epileptic encephalopathies, its anticonvulsant mechanisms and the influence of biological sex on treatment response remain incompletely understood. In this preclinical study, we evaluated the efficacy, tolerability, pharmacokinetics, and molecular effects of CBD in the GASH/Sal hamster, a genetic model of audiogenic generalized tonic-clonic seizures. Animals received intraperitoneal CBD (200 mg/kg) either acutely or chronically for 14 days. CBD concentrations were measured in serum and brain, while seizure severity, latency, and neuroethological parameters were assessed following acoustic seizure induction. Safety was evaluated through body weight, hematological, and biochemical analyses, and gene expression profiling was performed in the inferior colliculus, the primary epileptogenic focus. CBD achieved measurable systemic and brain exposure after both acute and chronic administration, despite substantial inter-individual variability and no significant sex differences in drug concentrations. CBD reduced audiogenic seizure severity in a time-dependent manner, with greater protection after chronic treatment. CBD also prolonged latency to seizure onset in both sexes (earlier in females). Although complete seizure suppression was more frequent in females than males (37.5% vs. 12.5% after chronic treatment), direct sex comparisons did not reach statistical significance. Notably, higher serum and brain CBD concentrations were associated with lower seizure severity. Chronic CBD administration was well tolerated in both sexes, affecting selected hematological parameters without altering body weight or liver function. Gene expression profiling revealed that transcriptional organization of the inferior colliculus was driven predominantly by biological sex rather than by seizure induction or CBD treatment. Marked sex-dependent differences were observed in serotonergic, endocannabinoid, purinergic, and Sigmar1-related neuroprotective pathways. Within this molecular context, seizure stimulation modulated <i>Trpv1</i> and <i>Slc29a1</i>, whereas chronic CBD induced pathway-specific, sex-dependent changes involving <i>5-Htr1a</i>, <i>Adora1</i>, and <i>Cnr1</i>, without eliciting widespread transcriptional remodeling. Collectively, these findings identify CBD as a well-tolerated anticonvulsant in the GASH/Sal model and suggest that pharmacokinetic exposure and the sex-specific molecular organization of the epileptogenic focus contribute to variability in treatment response, highlighting the importance of considering biological sex in cannabinoid-based epilepsy research.",Frontiers in pharmacology,2026.0
108,42633403,"Systems-level analysis of 1,6-hexanediol stress response and tolerance engineering in <i>Escherichia coli</i>.","1,6-Hexanediol (1,6-HDO) is an important chemical platform widely used in polymer and pharmaceutical industries, while its toxicity remains a major bottleneck limiting efficient microbial production. This study demonstrates that 1,6-HDO exhibited strong inhibitory effects on <i>Escherichia coli</i>, reducing the maximum OD<sub>600</sub> to approximately 50% of the control level under 10 g/L stress. Transcriptomic analysis was performed under 1,6-HDO stress, identifying 779 differentially expressed genes enriched in pathways related to energy metabolism, sulfur metabolism and amino acid metabolism. To systematically identify functional targets associated with tolerance, genome-wide screening using the ASKA overexpression library identified 93 tolerance-related genes that improved <i>E. coli</i> growth under 1,6-HDO stress by 0.06- to 3.17-fold. Notably, multiple targets were functionally associated with energy and amino acid metabolism, consistent with the transcriptomic analysis. Furthermore, co-expression of <i>rumA</i> and <i>yhbO</i> showed the greatest improvement in growth, reaching a biomass of 9.43 under 1,6-HDO stress, which was 2.61-fold higher than that of the control strain. Collectively, this study systematically elucidates the global stress response and identifies key determinants contributing to tolerance, providing valuable targets for developing robust microbial cell factories for efficient 1,6-HDO bioproduction.",Synthetic and systems biotechnology,2027.0
220,40949928,<i>MedGraphNet</i>: Leveraging Multi-Relational Graph Neural Networks and Text Knowledge for Biomedical Predictions.,"Genetic, molecular, and environmental factors influence diseases through complex interactions with genes, phenotypes, and drugs. Current methods often fail to integrate diverse multi-relational biological data meaningfully, limiting the discovery of novel risk genes and drugs. To address this, we present <i>MedGraphNet</i>, a multi-relational Graph Neural Network (GNN) model designed to infer relationships among drugs, genes, diseases, and phenotypes. <i>MedGraphNet</i> initializes nodes using informative embeddings from existing text knowledge, allowing for robust integration of various data types and improved generalizability. Our results demonstrate that <i>MedGraphNet</i> matches and often outperforms traditional single-relation approaches, particularly in scenarios with isolated or sparsely connected nodes. The model shows generalizability to external datasets, achieving high accuracy in identifying disease-gene associations and drug-phenotype relationships. Notably, <i>MedGraphNet</i> accurately inferred drug side effects without direct training on such data. Using Alzheimer's disease as a case study, <i>MedGraphNet</i> successfully identified relevant phenotypes, genes, and drugs, corroborated by existing literature. These findings demonstrate the potential of integrating multi-relational data with text knowledge to enhance biomedical predictions and drug repurposing for diseases. <i>MedGraphNet</i> code is available at https://github.com/vinash85/MedGraphNet.",Proceedings of machine learning research,2024.0
279,42631261,A Novel Homozygous <i>ATP7B</i> Splice-Site Variant Causes Late-Onset Hepatic Wilson Disease.,"Wilson disease (WD) is a rare disorder that may be missed because of atypical presentations. We present a 47-year-old asymptomatic man who was incidentally discovered to have hepatic steatosis and cirrhosis without features of the metabolic syndrome and with normal physical examination and liver function tests. Very low ceruloplasmin and high urine copper prompted evaluation for WD. He had no Kayser-Fleischer rings. Genetic testing revealed a novel homozygous splice-site <i>ATP7B</i> variant (NM_000053.2:c.1707+2dupT p.(?)), the first reported case of homozygosity for this mutation. This case highlights the importance of considering WD in patients with unexplained hepatic steatosis and cryptogenic cirrhosis.",ACG case reports journal,2026.0
216,42632595,Disease-Modifying Antirheumatic Drugs for Hand Osteoarthritis: A Systematic Review and Network Meta-analysis.,"To compare the symptomatic efficacy, safety, and exploratory structural evidence of disease-modifying antirheumatic drug therapies in patients with hand osteoarthritis, with particular attention to inflammatory and erosive phenotypes. We searched PubMed, Web of Science, Embase, the Cochrane Library, ClinicalTrials.gov, and the Chinese Clinical Trial Registry from inception to 12 March 2026 for randomized controlled trials evaluating disease-modifying antirheumatic drug therapies in hand osteoarthritis. Eligible trials included patients with general, inflammatory, erosive, or thumb-base hand osteoarthritis, while studies involving rheumatoid arthritis or other inflammatory arthritides were excluded. Interventions were classified as conventional synthetic or biologic disease-modifying antirheumatic drugs. Pain intensity and hand function were considered primary clinical outcomes. Inflammatory symptom-related outcomes, including swollen and painful joint counts and stiffness, were analysed separately. Treatment-emergent adverse events and serious adverse events were primary safety outcomes, while imaging and biomarker outcomes were treated as exploratory evidence related to potential structural disease modification. A frequentist network meta-analysis was performed. Continuous outcomes were summarized as standardized mean differences and dichotomous outcomes as odds ratios, both with 95% confidence intervals. Twelve randomized controlled trials involving 1317 participants and seven active disease-modifying antirheumatic drug therapies were included. Methotrexate and hydroxychloroquine were classified as conventional synthetic disease-modifying antirheumatic drugs, whereas adalimumab, etanercept, tocilizumab, lutikizumab, and otilimab were classified as biologic disease-modifying antirheumatic drugs. No eligible trial of a targeted synthetic disease-modifying antirheumatic drug was identified. For pain intensity outcomes, etanercept and tocilizumab were associated with lower long-term visual analogue scale pain than placebo, whereas no intervention showed consistent improvement in hand function. For inflammatory symptom-related outcomes, tocilizumab showed a short-term reduction in painful and swollen joint counts, and adalimumab reduced swollen joint counts in some analyses. However, these findings were outcome-specific, time-dependent, and largely based on sparse, placebo-centred networks. No clear differences were detected in overall treatment-emergent adverse events or serious adverse events, but safety evidence was limited by small sample sizes, short exposure durations, and inconsistent adverse-event reporting. Imaging and biomarker outcomes were heterogeneous and insufficient for quantitative synthesis across most endpoints. Current randomized evidence does not support the routine use of disease-modifying antirheumatic drugs for hand osteoarthritis. Selected biologic agents showed limited symptomatic signals, particularly in pain or inflammatory joint outcomes, but these findings should not be interpreted as evidence of disease modification. Structural and biomarker evidence remains exploratory and insufficient. Future trials should focus on phenotype-enriched hand osteoarthritis populations and use standardized clinical, imaging, biomarker, and safety outcomes. Level I, therapeutic studies. PROSPERO CRD420261353132.",Hand surgery & rehabilitation,2026.0
147,42633081,Multiomic Investigation of Shared Genetic Pathways in Paediatric Congenital Heart Disease and Neurodevelopmental Disorders.,"Recent medical advances have significantly improved the life expectancy of individuals with congenital heart disease (CHD); however, these children remain at increased risk of co-occurring neurodevelopmental disorders (NDD), such as attention-deficit/hyperactivity disorder and autism spectrum disorder. Although prenatal environmental factors, including placental dysfunction and altered oxygen levels in utero, as well as postnatal events such as cardiac surgery, may contribute to this increased risk, shared genetic factors may also underlie both conditions. Therefore, this study is aimed at investigating genomic, transcriptomic and epigenomic findings in patients with NDD and/or CHD using an integrative multiomic approach. A cohort of 14 trios and one duo was recruited: Two probands had both NDD and CHD, two had CHD only and 11 had NDD only. Blood samples were analysed using whole-genome sequencing, RNA sequencing and DNA methylation profiling. We identified one large deletion (~2.5 Mb) and seven likely pathogenic/pathogenic (LP/P) variants, including two in autosomal dominant genes relevant to the patients' phenotypes and five in autosomal recessive genes consistent with carrier status. This included a likely pathogenic de novo splice-disrupting variant in the chromatin remodelling gene <i>ARID1B</i>, validated by RNA sequencing. DNA methylation analysis revealed epigenetic differences between CHD and NDD patients, with CHD patients showing elevated biological age acceleration. Comparison with a reference cohort of 178 controls identified four probands with extreme methylation dysregulation, including the individual with the <i>ARID1B</i> variant. Overall, these findings highlight the diagnostic and mechanistic value of integrative multiomic profiling in paediatric developmental disease cohorts.",Human mutation,2026.0
154,41451023,Exploring acenocoumarol and silodosin in non-small cell lung cancer: Insights into EGFR-linked signaling mechanisms.,"Non-small-cell lung cancer (NSCLC) is a highly morbid disease. Chemotherapy for NSCLC lacks specificity and efficacy mainly because of drug resistance. The current study aimed to explore computational tools to target allosteric epidermal growth factor receptor (EGFR) sites and screen for the top molecules <i>in vitro</i> and <i>in vivo</i> xenograft models. Molecular docking, virtual screening, and molecular dynamic studies revealed that acenocoumarol and silodosin are the top two allosteric EGFR inhibitors. They were further tested for cytotoxicity, apoptosis, cell cycle, and gene expression by qPCR, western blotting, A549 cell xenograft anti-proliferative activity, and tumor regression efficacy analysis. Acenocoumarol and silodosin exhibited cytotoxicity in A549 and IMR-90 cells at concentrations below 50 and 80 μM, respectively. Acenocoumarol and silodosin induced S-phase and G2/M-phase arrest in A549 cells in the cell cycle analysis. Both drugs showed early apoptosis at their IC <sub>50</sub> doses (acenocoumarol 50 μM and silodosin 25 μM). KRAS (Kirsten rat sarcoma viral oncogene homolog) and ERK2 (extracellular signal-regulated kinase 2) gene regulation in A549 cells was confirmed using qPCR. KRAS and ERK2 activities were quantified by western blot analysis. In the xenograft study, tumor size, body weight, and organ weight were significantly attenuated by the test drugs compared with the standard cisplatin. Immunoblotting and western blot results of the A549-xenograft tissue indicated downregulation of KRAS and ERK2. Furthermore, the test drugs have upregulated caspase-3 gene expression. The drugs acenocoumarol and silodosin downregulate KRAS and ERK2 in both A549 cell lines and Xenograft model. KRAS and ERK2 are components of EGFR-associated signaling pathways. Hence, acenocoumarol and silodosin can be further explored as repurposed candidates in future preclinical and clinical studies.",F1000Research,2024.0
90,42625940,"Isolation, Molecular Characterization, and Antibacterial Activity of Actinomycetes Associated With Horsemint (<i>Mentha longifolia</i>).","Actinomycetes, renowned for their antibiotic-producing capabilities, represent a promising avenue for the discovery of novel antimicrobial agents, especially amid the global challenge of antibiotic resistance. This study explored the endophytic actinomycetes associated with horsemint (<i>Mentha longifolia</i>), a medicinal plant known for its antimicrobial properties, to uncover potential sources of novel antibiotics. Actinomycetes were isolated from horsemint samples collected in Ilam Province, Iran. Forty isolates were identified based on morphological and molecular analyses, including <i>16S rRNA</i> gene amplification. Antibacterial activity was evaluated against clinically relevant pathogens, including ESKAPE bacteria. Six isolates exhibited significant inhibitory effects, particularly against <i>Pseudomonas aeruginosa</i> and <i>Klebsiella pneumoniae</i>, with some also active against <i>Staphylococcus aureus</i>. Further analysis revealed the presence of biosynthetic gene clusters (BGCs), including non-ribosomal peptide synthetases (<i>NRPS</i>) and polyketide synthases (<i>PKS-I</i> and <i>PKS-II</i>), in several isolates. Notably, strains such as <i>T35</i> and <i>T37</i> harbored all three gene types and demonstrated broad-spectrum antibacterial activity. Strain <i>B22</i>, containing the <i>NRPS</i> gene, showed significant inhibition of both drug-resistant and drug-sensitive pathogens. However, some isolates with BGCs exhibited no antibacterial activity, suggesting that gene expression and metabolite production are influenced by regulatory or environmental factors. This study highlights the untapped potential of <i>M. longifolia</i>-associated Actinomycetes as a source of bioactive compounds. The discovery of strains with robust antibacterial activity underscores their value in addressing the urgent need for new antimicrobial agents, especially in combating antibiotic resistance. These findings also emphasize the importance of plant-microbe interactions in natural product biosynthesis. Future work should focus on optimizing conditions for activating silent gene clusters and further characterizing the therapeutic potential of these bioactive compounds.",Archives of Razi Institute,2025.0
68,42633474,When Hemiplegic Migraine Defies Expectations: Diagnostic Complexity in a Rare Genetic Disorder.,"Familial hemiplegic migraine (FHM) is a rare and complex inherited subtype of migraine with aura, characterised by migraine with a reversible motor aura, and may present with a wide spectrum of neurological symptoms, making diagnosis particularly challenging. We report a case of FHM presenting with prolonged hemiparesis, severe headache, altered consciousness, and fever. This constellation of symptoms initially suggested acute stroke, encephalitis, or status epilepticus. A precise clinical history and targeted genetic testing (CACNA1A, ATP1A2, SCN1A, and PRRT2) proved essential for establishing the diagnosis. This case highlights the wide phenotypic variability of FHM and the risk of misdiagnosis in emergency settings. Early recognition through careful clinical assessment and appropriate genetic testing enabled appropriate management and avoided unnecessary interventions.",Case reports in neurology,2026.0
112,41834939,Secretion of IL-6 and TGF-β2 by Colon Cancer Cells May Promote Resistance to Chemotherapy.,"Colon rectal cancer still stands as the third most common form of cancer worldwide. 90% of colorectal cancer failure is attributed to the development of chemoresistance. In this study, we have investigated the influence of chemokine IL-6 and growth factor TGF-β2 on dox resistance development. HT-29 (benign, Duke's stage B, colon adenocarcinoma with smad4 mutation) and Colo205 (metastatic, Duke's stage C, colon adenocarcinoma with smad4 mutation) were treated with increasing concentrations of doxorubicin for 7-days to induce resistance in the presence or absence of TGF-β2 ligand. The media after each treatment was collected and the level of secretory IL-6 was evaluated through ELISA. The media was concentrated, and isoforms of TGF-β2 were immunoprecipitated. We report that over the 7-day treatment period, an increase in IL-6 expression was observed upon treatment and the expression pattern varied based on the cancer stage. Similarly, differently expressed glycosylated forms of TGF-β2 secretion was observed with Colo205 cells while only low glycosylated form was observed in HT-29 cell line. Further analysis into the molecular mechanism could shed light on the possible role of IL-6 and TGF-β2 secretion as molecular markers for resistance development in colon cancer cells.",Indian journal of clinical biochemistry : IJCB,2026.0
113,41834934,"Association of rs12826786 and rs1899663, Long Non-coding RNA <i>HOTAIR</i> Polymorphic Variants, with Susceptibility to Rheumatoid Arthritis Disease.","The most prevalent inflammatory arthropathy in the world is rheumatoid arthritis (RA). An essential part of the pathogenesis of RA involves autoimmune responses. Variants in lncRNAs may have an impact on the course and/or result of a disease and may have diagnostic or prognostic significance. Our study looked into the connection of rs12826786 and rs1899663 polymorphisms of <i>HOX antisense RNA (HOTAIR)</i> transcript with genetic susceptibility to RA. The study involved 300 participants in total, 150 of them were RA patients and the remaining 150 were healthy controls. Using tetra primer ARMS-PCR, the <i>HOTAIR</i> polymorphisms rs12826786 and rs1899663 were detected. More observations of the T allele of rs1899663 and the C allele of rs12826786 were made in the study group compared to the control group. The <i>HOTAIR</i> rs12826786 variant displayed a significant association with susceptibility to RA in both recessive (OR = 2.45, 95% CI = 1.47-4.09, <i>P</i> = 0.0004) and over-dominant (OR = 0.42, 95% CI = 0.26-0.68, <i>P</i> = 0.0003) models. In addition, the <i>HOTAIR</i> rs1899663 was shown to be linked to RA susceptibility in the co-dominant model (OR = 0.32, 95% CI = 0.17-0.61, <i>P</i> = 0.0004 for GG genotype), dominant model (OR = 0.48, 95% CI = 0.29-0.81, <i>P</i> = 0.005), and recessive model (OR = 0.43, 95% CI = 0.25-0.74, <i>P</i> = 0.001). The CT haplotype is linked to a greater risk of RA, whereas the CG haplotype confers protection against RA. We reported for the first time, <i>HOTAIR</i> rs12826786 and rs1899663 variants are associated with susceptibility to developing RA among the Iranian population. In addition, the CT and CG haplotypes were associated with the risk of RA. Further functional studies are needed to elucidate the role of these variations on <i>HOTAIR</i> expression.",Indian journal of clinical biochemistry : IJCB,2026.0
271,42147992,Monogenic Findings in Early Pregnancy Loss: Whole-Exome Sequencing Study of Euploid Products of Conception.,"Early pregnancy loss (EPL), particularly when recurrent, represents a profoundly distressing experience for affected couples. Although chromosomal abnormalities are the most common cause of EPL, a substantial proportion of cases, especially those involving euploid embryos, remain unexplained. In this study, we investigated the potential contribution of rare monogenic variants to euploid EPL using whole-exome sequencing (WES). WES was performed on 66 euploid products of conceptions (POCs) from EPLs occurring before 12 gestational weeks. A molecular diagnosis with a high level of confidence, defined as the presence of pathogenic or likely pathogenic (P/LP) variant(s) consistent with the expected mode of inheritance, was established in 13/66 POCs (19.7%). These included one large 21q22.12-q22.3 duplication encompassing <i>DYRK1A</i> and <i>RUNX1</i>. P/LP small variants were detected in <i>CPLANE1</i>, <i>DHCR7</i>, <i>DSG2</i>, <i>DVL1</i>, <i>F5</i>, <i>NF1</i>, <i>RBM8A</i>, <i>SLC6A1</i>, and <i>VWF</i>, representing genes with variable degrees of prior association with developmental phenotypes and, in some cases, limited or no evidence for embryonic lethality. In an additional 9/66 POCs (13.6%), findings were suggestive but not conclusive for a monogenic contribution. These included four cases with compound heterozygosity involving a pathogenic variant and a variant of uncertain significance (VUS) in autosomal recessive genes (<i>GBA1</i>, <i>PAH</i>, <i>PKHD1</i>, and <i>RPGRIP1L</i>), as well as five cases harboring single heterozygous VUS in autosomal dominant genes (<i>MYH3</i>, <i>PRDM6</i>, <i>SCN5A</i>, <i>TBX18</i>, and <i>TSC1</i>). The pathogenic relevance of these variants remains uncertain, particularly in the absence of functional validation. The implicated genes were clustered in biological categories: 1) genes plausibly associated with prenatal or early embryonic lethality, 2) genes causing severe congenital disorders not typically considered embryonically lethal, and 3) genes linked to later-onset or susceptibility phenotypes. These observations are consistent with a spectrum model in which highly deleterious variants may act as primary drivers of embryonic demise, whereas variants with reduced penetrance, later-onset associations or uncertain significance may contribute in a multifactorial context, potentially interacting with additional genetic, maternal or environmental factors. In conclusion, our findings suggest that monogenic variants may contribute to a subset of euploid EPL cases, although the strength of evidence varies considerably across detected variants. The integration of WES into the evaluation of recurrent euploid pregnancy loss holds promise but should be interpreted with caution. Further studies incorporating functional analyses, larger cohorts, and parental data are needed to clarify causality and to define the clinical utility of such approaches in genetic counseling, recurrence-risk assessment, and reproductive planning.",Balkan journal of medical genetics : BJMG,2025.0
137,42500341,"Association of <i>MT1A</i> rs11640851, rs8052394 and rs11076161 Polymorphisms with the Risk of Developing Breast Cancer: A Haplotype-Based Case-Control Study and in Silico Analysis.","Metallothionein 1 A (MT1a) is involved in many pathological conditions associated with antioxidant defense and detoxification, including cancer. The aim of this study was to investigate the possible association of <i>MT1A</i> rs11640851, rs8052394, and rs11076161 single nucleotide polymorphisms (SNPs) with the risk of breast cancer (BC) and clinicopathological features. The study included 100 patients with BC and 100 healthy controls. We genotyped the <i>MT1A</i> SNPs using the polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) and amplification refractory mutation system PCR (ARMS-PCR) techniques. The genotypic and allelic associations of <i>MT1A</i> SNPs with susceptibility to BC were assessed using logistic regression analysis under co-dominant, dominant, and recessive inheritance models. The combined effect of <i>MT1A</i> SNPs on the BC risk was determined using the haplotype analysis. In silico analysis was performed using the Polyphen-2 and RNAsnp online servers. The rs11640851 was found to be associated with a reduced risk of BC in all three inheritance models (<i>P</i> < 0.05). We also found that rs11640851 A allele has a protective effect against BC (OR: 4.81; 95% CI: 2.65-8.72; <i>P</i> < 0.0001). For rs8052394/rs11076161, carriers of AG/AA combined genotype had a 3.84-fold increased risk for developing BC. Also, the haplotypes CAC and CGA (rs1164085, rs8052394, rs11076161) were significantly associated with BC susceptibility. The rs11640851 was predicted to be detrimental using Polyphen-2 server. This study provides the first evidence that rs11640851 is significantly associated with a reduced risk of BC suggesting its protective role in the development of BC. Two haplotypes CAC and CGA were also identified as risk factors for BC. The online version contains supplementary material available at 10.1007/s12291-025-01323-2.",Indian journal of clinical biochemistry : IJCB,2026.0
210,42633120,"Prevalence and antimicrobial resistance trends of ESKAPEE pathogens in clinical isolates from Hyderabad, Pakistan: a cross-sectional study.","Antimicrobial resistance is a major global health threat that limits treatment options and increases morbidity and mortality. ESKAPEE pathogens are prioritized by the World Health Organization and the Centers for Disease Control and Prevention because of their role in nosocomial infections and their ability to evade antimicrobials. This study aimed to determine the prevalence and antimicrobial resistance patterns of ESKAPEE pathogens in Hyderabad, Pakistan. A cross-sectional study was conducted from August 2023 to August 2024 at the University of Sindh. A total of 1072 clinical specimens were processed for bacterial isolation, identification, and antimicrobial susceptibility testing following Clinical and Laboratory Standards Institute and European Committee on Antimicrobial Susceptibility Testing guidelines. Isolates were classified as multidrug-resistant, extensively drug-resistant, or possible pandrug-resistant using the Magiorakos et al. criteria and the Centers for Disease Control and Prevention/Infectious Diseases Society of America definitions. Among positive cultures, ESKAPEE pathogens accounted for 82.1% of isolates. <i>Escherichia coli</i> was the most prevalent (49.8%), followed by <i>Klebsiella pneumoniae</i> (13.2%), <i>Acinetobacter baumannii</i> (9.7%), <i>Pseudomonas aeruginosa</i> (9.3%), <i>Enterococcus</i> spp. (8.3%), <i>Staphylococcus aureus</i> (8.0%), and <i>Enterobacter</i> spp. (1.7%). High resistance was observed to β-lactams, cephalosporins, and fluoroquinolones. Carbapenem resistance ranged from 11.1% to 25.7% in <i>E. coli</i>, 29.0% to 39.5% in <i>K. pneumoniae</i>, 48.2% in <i>P. aeruginosa</i>, and 60.7% to 64.3% in <i>A. baumannii</i>. The high burden of multidrug-resistant and extensively drug-resistant ESKAPEE pathogens highlights the urgent need for strengthened antimicrobial stewardship, continuous surveillance, and rigorous infection-control strategies.",IJID regions,2026.0
197,42540124,Gastrointestinal Ascariasis: Unusual Presentation in 2 Cases.,"Ascariasis is a helminthic infection caused by the nematode <i>Ascaris lumbricoides</i> and remains the most prevalent helminth infection worldwide. Although typically asymptomatic or limited to intestinal symptoms, intestinal ascariasis can present unusually as demonstrated in these two cases. The first case involves a 73-year-old male who was being treated for non-steroidal anti-inflammatory drug (NSAID) - induced upper gastrointestinal bleeding (UGIB) and was incidentally found to harbor Ascaris worms in the duodenum during endoscopy. The second case describes a 63-year-old male with decompensated liver cirrhosis who began vomiting and passing large quantities of Ascaris worms while hospitalized. Both patients responded excellently to anthelminthic therapy. The first case highlights the need to consider ascariasis in the differential diagnosis of upper gastrointestinal bleeding, either as a primary cause or in conjunction with other causes of upper GI bleeding. The second case underscores the importance of considering biliary ascariasis or ascariasis co-infection in patients with liver cirrhosis. Ascariasis continues to pose a significant public health challenge. Effective preventive strategies such as improved sanitation, enhanced personal hygiene, and routine deworming programs are crucial for reducing the disease burden and averting potentially severe complications.",Nigerian medical journal : journal of the Nigeria Medical Association,2025.0
158,41283084,Decoding the Genetic Landscape of Postoperative Nausea and Vomiting in Cancer Surgery: A New Frontier in Personalized Medicine Driven by Genome-Wide Association Studies.,"Postoperative nausea and vomiting (PONV) is a common complication following surgery, especially among cancer patients. It affects comfort, extends hospital stays, and increases healthcare costs. Advances in genomic research present an opportunity to explore genetic predispositions to PONV, potentially enabling targeted interventions and improved management strategies. This review consolidates findings from genome-wide association studies (GWAS) to identify genetic links to PONV in cancer patients and evaluate their implications for personalized medicine. A thorough search of databases such as PubMed, Scopus, and Web of Science identified GWAS studies on genetic predispositions to PONV in cancer surgery patients up to August 25, 2024. Studies were selected based on inclusion criteria that required reporting genetic associations with PONV, and the findings were analyzed for commonalities and discrepancies. Significant <i>P</i>-values (10^ - 6 to 10^ - 9) were found for multiple SNPs linked to PONV susceptibility. Specifically, rs2776262 (chromosome 21, LOC100506403) showed a <i>P</i>-value of 8.533 × 10<sup>-9</sup> with an odds ratio (OR) of 2.00. The SNP rs12609817 (chromosome 19, ZNF845) had a <i>P</i>-value of 1.055 × 10⁻<sup>9</sup> and an OR of 4.00, indicating a strong gene expression impact. Additionally, rs921634 (chromosome 7, PKD1L1) had a <i>P</i>-value of 1.393 × 10⁻<sup>9</sup> and an OR of 9.00, suggesting a significant association with polycystic kidney disease. Protective SNPs such as rs1927382 in FGF14 and rs1333114 in PTPRD were also identified, highlighting risk mitigation opportunities. GWAS studies have identified key SNPs associated with PONV in cancer surgery, including ZNF845 rs12609817, PKD1L1 rs921634, and CLDN14 rs2071049, as well as protective variants like FGF14 rs1927382 and PTPRD rs1333114. These insights advance our understanding of the genetic factors that influence PONV risk, supporting better prediction and management strategies. This research lays the groundwork for personalized treatments to improve patient outcomes in the perioperative setting. Further exploration of these SNPs and their biological mechanisms could enhance PONV prevention strategies for cancer surgery patients.",Indian journal of surgical oncology,2025.0
126,42602331,H2AX phosphorylation driven by the SET-PP2A axis maintains glioma stem cell properties.,"Glioblastoma harbors a subpopulation of glioma stem cells (GSCs) that drive tumor relapse and invasion. Although GSC properties are known to be regulated by key transcription factors and chromatin remodeling, the mechanisms governing stemness-associated gene expression and the role of histone proteins in this process remain poorly understood. Here, we revealed that GSCs possessed an increased level of histone variant H2AX and phosphorylated H2AX at Ser 139 (γH2AX). CRISPR-Cas9-mediated deletion of H2AX demonstrated its critical role in maintaining GSC self-renewal, tumorigenicity, and the expression of multiple stemness-associated genes. Reintroduction of wild-type H2AX, but not the phosphorylation-deficient S139A mutant, restored GSC properties in H2AX-knockout cells, underscoring the importance of H2AX phosphorylation. We further identified that the elevated γH2AX levels in GSCs result from suppressed PP2A phosphatase activity, driven by increased expression of the SET oncoprotein. Pharmacological reactivation of PP2A effectively reduced γH2AX levels in GSCs. Collectively, our findings uncover a novel mechanism for GSC maintenance and highlight the SET-PP2A axis as a key regulator of γH2AX levels, offering a potential therapeutic target to disrupt GSC-driven tumor growth.",Genes & diseases,2026.0
